jid,schqual,price,sharej,iv
1,-1.7191,-1.9509,0.005,-1.5632
2,-1.7018,-1.7294,0.005,-1.5637
3,-1.6845,-1.5966,0.005,-1.564
4,-1.6673,-2.1106,0.005,-1.5641
5,-1.65,-1.739,0.005,-1.5641
6,-1.6327,-2.0711,0.005,-1.564
7,-1.6154,-1.9686,0.005,-1.5636
8,-1.5982,-1.4856,0.005,-1.5631
9,-1.5809,-0.96353,0.005,-1.5625
10,-1.5636,-1.8243,0.005,-1.5617
11,-1.5463,-2.3857,0.005,-1.5607
12,-1.529,-1.8227,0.005,-1.5595
13,-1.5118,-2.1146,0.005,-1.5582
14,-1.4945,-1.7853,0.005,-1.5568
15,-1.4772,-1.8566,0.005,-1.5552
16,-1.4599,-1.522,0.005,-1.5534
17,-1.4427,-1.9909,0.005,-1.5514
18,-1.4254,-1.1098,0.005,-1.5493
19,-1.4081,-1.2772,0.005,-1.547
20,-1.3908,-2.2095,0.005,-1.5446
21,-1.3736,-2.0232,0.005,-1.5419
22,-1.3563,-1.5219,0.005,-1.5391
23,-1.339,-1.5406,0.005,-1.5362
24,-1.3217,-2.24,0.005,-1.5331
25,-1.3044,-1.1368,0.005,-1.5298
26,-1.2872,-0.77542,0.005,-1.5263
27,-1.2699,-1.8645,0.005,-1.5227
28,-1.2526,-2.8643,0.005,-1.5189
29,-1.2353,-1.5792,0.005,-1.5149
30,-1.2181,-1.8039,0.005,-1.5108
31,-1.2008,-1.3509,0.005,-1.5065
32,-1.1835,-1.5959,0.005,-1.502
33,-1.1662,-1.9917,0.005,-1.4973
34,-1.1489,-1.7725,0.005,-1.4925
35,-1.1317,-1.7559,0.005,-1.4875
36,-1.1144,-1.8081,0.005,-1.4823
37,-1.0971,-2.0266,0.005,-1.4769
38,-1.0798,-1.7545,0.005,-1.4714
39,-1.0626,-1.7406,0.005,-1.4657
40,-1.0453,-0.061583,0.005,-1.4598
41,-1.028,-1.716,0.005,-1.4537
42,-1.0107,-1.5729,0.005,-1.4475
43,-0.99345,-0.78862,0.005,-1.441
44,-0.97617,-1.481,0.005,-1.4344
45,-0.95889,-1.6657,0.005,-1.4276
46,-0.94162,-0.73045,0.005,-1.4207
47,-0.92434,-1.7827,0.005,-1.4135
48,-0.90706,-1.293,0.005,-1.4062
49,-0.88978,-2.2691,0.005,-1.3987
50,-0.87251,-1.7983,0.005,-1.391
51,-0.85523,-1.7918,0.005,-1.3831
52,-0.83795,-0.74138,0.005,-1.375
53,-0.82068,-1.9838,0.005,-1.3668
54,-0.8034,-0.52167,0.005,-1.3583
55,-0.78612,-1.6237,0.005,-1.3497
56,-0.76884,-1.6718,0.005,-1.3409
57,-0.75157,-0.95773,0.005,-1.3319
58,-0.73429,-1.788,0.005,-1.3227
59,-0.71701,-0.92942,0.005,-1.3133
60,-0.69973,-2.1116,0.005,-1.3037
61,-0.68246,-1.7321,0.005,-1.294
62,-0.66518,-1.6296,0.005,-1.284
63,-0.6479,-1.0652,0.005,-1.2738
64,-0.63062,-0.77503,0.005,-1.2635
65,-0.61335,-2.0654,0.005,-1.2529
66,-0.59607,-1.258,0.005,-1.2422
67,-0.57879,-0.79574,0.005,-1.2313
68,-0.56151,-1.6831,0.005,-1.2201
69,-0.54424,-1.1908,0.005,-1.2088
70,-0.52696,-1.5265,0.005,-1.1973
71,-0.50968,-1.3347,0.005,-1.1855
72,-0.49241,-1.2028,0.005,-1.1736
73,-0.47513,-0.94944,0.005,-1.1615
74,-0.45785,-0.86453,0.005,-1.1491
75,-0.44057,-1.9851,0.005,-1.1366
76,-0.4233,-1.6041,0.005,-1.1238
77,-0.40602,-1.7628,0.005,-1.1109
78,-0.38874,-1.3336,0.005,-1.0977
79,-0.37146,-1.7363,0.005,-1.0843
80,-0.35419,-1.138,0.005,-1.0708
81,-0.33691,-0.87362,0.005,-1.057
82,-0.31963,-1.1816,0.005,-1.043
83,-0.30235,-1.6631,0.005,-1.0288
84,-0.28508,-0.96621,0.005,-1.0143
85,-0.2678,-1.8876,0.005,-0.9997
86,-0.25052,-1.4547,0.005,-0.98485
87,-0.23324,-0.81838,0.005,-0.96978
88,-0.21597,-1.2511,0.005,-0.95449
89,-0.19869,-1.7977,0.005,-0.93898
90,-0.18141,-0.76743,0.005,-0.92325
91,-0.16414,-1.1412,0.005,-0.9073
92,-0.14686,-1.3237,0.005,-0.89113
93,-0.12958,-1.5627,0.005,-0.87473
94,-0.1123,-1.2141,0.005,-0.85811
95,-0.095026,-0.79101,0.005,-0.84126
96,-0.077748,-0.82733,0.005,-0.82418
97,-0.060471,-0.39183,0.005,-0.80688
98,-0.043193,-0.67248,0.005,-0.78934
99,-0.025916,-0.79572,0.005,-0.77158
100,-0.0086387,-1.2056,0.005,-0.75358
101,0.0086387,-0.7735,0.005,-0.73534
102,0.025916,-0.46061,0.005,-0.71687
103,0.043193,-1.5936,0.005,-0.69816
104,0.060471,-1.0223,0.005,-0.67921
105,0.077748,-0.63435,0.005,-0.66002
106,0.095026,-0.78003,0.005,-0.64059
107,0.1123,-1.294,0.005,-0.62092
108,0.12958,-0.90894,0.005,-0.60099
109,0.14686,-0.29533,0.005,-0.58083
110,0.16414,-1.2426,0.005,-0.56041
111,0.18141,-0.54888,0.005,-0.53974
112,0.19869,-0.18238,0.005,-0.51883
113,0.21597,-0.8318,0.005,-0.49765
114,0.23324,-0.40422,0.005,-0.47623
115,0.25052,-1.868,0.005,-0.45454
116,0.2678,-1.0342,0.005,-0.4326
117,0.28508,-0.38463,0.005,-0.41039
118,0.30235,-0.50431,0.005,-0.38792
119,0.31963,-1.0568,0.005,-0.36519
120,0.33691,-0.61426,0.005,-0.34219
121,0.35419,-0.69409,0.005,-0.31892
122,0.37146,-0.79928,0.005,-0.29538
123,0.38874,-0.099264,0.005,-0.27157
124,0.40602,0.11695,0.005,-0.24748
125,0.4233,-0.0033555,0.005,-0.22311
126,0.44057,-1.2188,0.005,-0.19847
127,0.45785,-0.29737,0.005,-0.17354
128,0.47513,0.78882,0.005,-0.14834
129,0.49241,-0.0069396,0.005,-0.12284
130,0.50968,-0.093944,0.005,-0.097057
131,0.52696,-0.72866,0.005,-0.070983
132,0.54424,-0.19299,0.005,-0.044616
133,0.56151,0.45528,0.005,-0.017953
134,0.57879,-0.57709,0.005,0.0090072
135,0.59607,-0.33886,0.005,0.036268
136,0.61335,0.33662,0.005,0.063832
137,0.63062,-0.15483,0.005,0.091701
138,0.6479,0.27087,0.005,0.11988
139,0.66518,0.28234,0.005,0.14837
140,0.68246,-1.3715,0.005,0.17717
141,0.69973,0.97757,0.005,0.20629
142,0.71701,0.28747,0.005,0.23573
143,0.73429,0.54741,0.005,0.26549
144,0.75157,-0.23378,0.005,0.29557
145,0.76884,0.32896,0.005,0.32599
146,0.78612,-0.16528,0.005,0.35673
147,0.8034,0.92603,0.005,0.38781
148,0.82068,0.5575,0.005,0.41922
149,0.83795,0.22842,0.005,0.45098
150,0.85523,-0.15544,0.005,0.48308
151,0.87251,0.76473,0.005,0.51553
152,0.88978,0.75971,0.005,0.54833
153,0.90706,1.7815,0.005,0.58148
154,0.92434,-0.22994,0.005,0.61499
155,0.94162,0.58296,0.005,0.64886
156,0.95889,0.96803,0.005,0.6831
157,0.97617,0.18968,0.005,0.7177
158,0.99345,1.1381,0.005,0.75268
159,1.0107,0.78811,0.005,0.78803
160,1.028,1.022,0.005,0.82376
161,1.0453,0.76623,0.005,0.85988
162,1.0626,1.0557,0.005,0.89638
163,1.0798,0.60196,0.005,0.93328
164,1.0971,0.30097,0.005,0.97057
165,1.1144,1.5683,0.005,1.0083
166,1.1317,0.64049,0.005,1.0464
167,1.1489,-0.2185,0.005,1.0849
168,1.1662,0.32743,0.005,1.1238
169,1.1835,0.99239,0.005,1.1631
170,1.2008,1.577,0.005,1.2029
171,1.2181,1.0826,0.005,1.2431
172,1.2353,1.0065,0.005,1.2837
173,1.2526,1.0912,0.005,1.3248
174,1.2699,1.8923,0.005,1.3663
175,1.2872,1.56,0.005,1.4082
176,1.3044,0.90948,0.005,1.4506
177,1.3217,0.91336,0.005,1.4935
178,1.339,1.2362,0.005,1.5368
179,1.3563,0.90556,0.005,1.5806
180,1.3736,1.9278,0.005,1.6249
181,1.3908,2.2796,0.005,1.6696
182,1.4081,2.69,0.005,1.7149
183,1.4254,1.754,0.005,1.7606
184,1.4427,2.2538,0.005,1.8068
185,1.4599,1.8139,0.005,1.8536
186,1.4772,1.7285,0.005,1.9008
187,1.4945,0.70999,0.005,1.9486
188,1.5118,2.4306,0.005,1.9969
189,1.529,1.6814,0.005,2.0457
190,1.5463,1.1998,0.005,2.0951
191,1.5636,2.6285,0.005,2.145
192,1.5809,2.751,0.005,2.1954
193,1.5982,1.74,0.005,2.2465
194,1.6154,2.918,0.005,2.2981
195,1.6327,2.5016,0.005,2.3502
196,1.65,2.8616,0.005,2.403
197,1.6673,2.8499,0.005,2.4563
198,1.6845,3.0959,0.005,2.5102
199,1.7018,2.0019,0.005,2.5648
200,1.7191,1.5164,0.005,2.6199
